antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"brittle nails, depression",enlarged thyroid,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
enlarged thyroid,"brittle nails, depression",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
brittle nails,"depression, enlarged thyroid",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
coma,stomach bleeding,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
stomach bleeding,coma,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"abnormal menstruation, swollen extremeties",brittle nails,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"abnormal menstruation, brittle nails",swollen extremeties,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
swollen extremeties,"abnormal menstruation, brittle nails",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
brittle nails,"abnormal menstruation, swollen extremeties",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"depression, swollen extremeties",brittle nails,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"brittle nails, depression",swollen extremeties,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
swollen extremeties,"brittle nails, depression",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
brittle nails,"depression, swollen extremeties",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"congestion, loss of smell",throat irritation,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"loss of smell, throat irritation",congestion,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"congestion, throat irritation",loss of smell,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
loss of smell,"congestion, throat irritation",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
congestion,"loss of smell, throat irritation",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
throat irritation,"congestion, loss of smell",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"congestion, loss of smell",runny nose,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"loss of smell, runny nose",congestion,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"congestion, runny nose",loss of smell,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
loss of smell,"congestion, runny nose",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
congestion,"loss of smell, runny nose",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
runny nose,"congestion, loss of smell",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"congestion, loss of smell",sinus pressure,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"loss of smell, sinus pressure",congestion,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"congestion, sinus pressure",loss of smell,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
loss of smell,"congestion, sinus pressure",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
congestion,"loss of smell, sinus pressure",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
sinus pressure,"congestion, loss of smell",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"enlarged thyroid, irritability",brittle nails,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"brittle nails, irritability",enlarged thyroid,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
enlarged thyroid,"brittle nails, irritability",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
brittle nails,"enlarged thyroid, irritability",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"loss of smell, phlegm",congestion,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"congestion, phlegm",loss of smell,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
loss of smell,"congestion, phlegm",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
congestion,"loss of smell, phlegm",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"congestion, loss of smell",redness of eyes,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"loss of smell, redness of eyes",congestion,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"congestion, redness of eyes",loss of smell,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
loss of smell,"congestion, redness of eyes",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
congestion,"loss of smell, redness of eyes",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
redness of eyes,"congestion, loss of smell",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"chest pain, congestion",throat irritation,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"chest pain, throat irritation",congestion,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
congestion,"chest pain, throat irritation",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
throat irritation,"chest pain, congestion",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"irritability, swollen extremeties",brittle nails,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"brittle nails, irritability",swollen extremeties,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
swollen extremeties,"brittle nails, irritability",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
brittle nails,"irritability, swollen extremeties",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
loss of smell,runny nose,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
runny nose,loss of smell,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
loss of smell,redness of eyes,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
redness of eyes,loss of smell,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"chest pain, loss of smell",congestion,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"chest pain, congestion",loss of smell,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
loss of smell,"chest pain, congestion",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
congestion,"chest pain, loss of smell",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"chest pain, congestion",redness of eyes,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"chest pain, redness of eyes",congestion,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
congestion,"chest pain, redness of eyes",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
redness of eyes,"chest pain, congestion",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"chest pain, muscle pain",congestion,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
congestion,"chest pain, muscle pain",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"excessive hunger, slurred speech",palpitations,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"excessive hunger, palpitations",slurred speech,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
slurred speech,"excessive hunger, palpitations",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
palpitations,"excessive hunger, slurred speech",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"chest pain, yellowing of eyes",blood in sputum,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
blood in sputum,"chest pain, yellowing of eyes",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"chest pain, mild fever",blood in sputum,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
blood in sputum,"chest pain, mild fever",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
loss of smell,sinus pressure,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
sinus pressure,loss of smell,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
loss of smell,throat irritation,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
throat irritation,loss of smell,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"loss of smell, muscle pain",congestion,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"congestion, muscle pain",loss of smell,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
loss of smell,"congestion, muscle pain",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
congestion,"loss of smell, muscle pain",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"abnormal menstruation, enlarged thyroid",swollen extremeties,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"abnormal menstruation, swollen extremeties",enlarged thyroid,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
enlarged thyroid,"abnormal menstruation, swollen extremeties",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
swollen extremeties,"abnormal menstruation, enlarged thyroid",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
loss of smell,congestion,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
congestion,loss of smell,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
congestion,redness of eyes,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
redness of eyes,congestion,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
congestion,runny nose,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
runny nose,congestion,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
congestion,sinus pressure,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
sinus pressure,congestion,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"muscle pain, runny nose",sinus pressure,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"muscle pain, sinus pressure",runny nose,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
runny nose,"muscle pain, sinus pressure",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
sinus pressure,"muscle pain, runny nose",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"chest pain, congestion",sinus pressure,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"chest pain, sinus pressure",congestion,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
congestion,"chest pain, sinus pressure",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
sinus pressure,"chest pain, congestion",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
congestion,throat irritation,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
throat irritation,congestion,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"chest pain, congestion",runny nose,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"chest pain, runny nose",congestion,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
congestion,"chest pain, runny nose",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
runny nose,"chest pain, congestion",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"muscle pain, phlegm",congestion,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
congestion,"muscle pain, phlegm",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"abnormal menstruation, enlarged thyroid",brittle nails,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"abnormal menstruation, brittle nails",enlarged thyroid,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
enlarged thyroid,"abnormal menstruation, brittle nails",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
brittle nails,"abnormal menstruation, enlarged thyroid",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"muscle pain, phlegm",redness of eyes,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
redness of eyes,"muscle pain, phlegm",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"congestion, runny nose",throat irritation,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"congestion, throat irritation",runny nose,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"runny nose, throat irritation",congestion,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
congestion,"runny nose, throat irritation",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
runny nose,"congestion, throat irritation",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
throat irritation,"congestion, runny nose",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"phlegm, redness of eyes",throat irritation,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"phlegm, throat irritation",redness of eyes,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
redness of eyes,"phlegm, throat irritation",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
throat irritation,"phlegm, redness of eyes",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"muscle pain, phlegm",runny nose,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
runny nose,"muscle pain, phlegm",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"phlegm, sinus pressure",runny nose,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"phlegm, runny nose",sinus pressure,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
sinus pressure,"phlegm, runny nose",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
runny nose,"phlegm, sinus pressure",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"muscle pain, phlegm",sinus pressure,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
sinus pressure,"muscle pain, phlegm",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"muscle pain, phlegm",throat irritation,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
throat irritation,"muscle pain, phlegm",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"phlegm, runny nose",throat irritation,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"phlegm, throat irritation",runny nose,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
runny nose,"phlegm, throat irritation",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
throat irritation,"phlegm, runny nose",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"congestion, runny nose",sinus pressure,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"congestion, sinus pressure",runny nose,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"runny nose, sinus pressure",congestion,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
